symbol,date,epsActual,epsEstimated,lastUpdated
TALBROAUTO.NS,2018-12-31,1.04,1.08,2025-06-17
INGERRAND.NS,2018-12-31,6.63,7.26,2025-06-17
ASALCBR.NS,2018-12-31,4.5,3.91,2025-06-17
SEYAIND.NS,2018-12-31,9.18,9.73,2025-06-17
CIGNITITEC.NS,2018-12-31,10.34,10.85,2025-06-17
MENONBE.NS,2018-12-31,1.02,1.0,2025-06-17
SASKEN.NS,2018-12-31,10.58,14.17,2025-06-17
DHANI.NS,2018-12-31,2.06,2.31,2025-06-17
RPGLIFE.NS,2018-12-31,3.19,6.63,2025-06-17
GICHSGFIN.NS,2018-12-31,6.5,8.11,2025-06-17
GODREJIND.NS,2018-12-31,2.29,7.1,2025-06-17
MDG1.DE,2018-12-31,-0.19892,0.1519,2025-06-17
SHEMAROO.NS,2018-12-31,7.2,7.2,2025-06-17
CGCL.NS,2018-12-31,0.4752,0.4209,2025-06-17
XTRA.TO,2018-12-31,-0.04,-0.03,2025-06-17
RICK,2018-12-31,0.41,0.45,2025-04-25
MLBEF,2018-12-31,-0.00799,-0.02533,2025-06-17
TAWNF,2018-12-31,-0.10689,0.00828,2025-06-17
NDL.NS,2018-12-31,0.3367,0.00667,2025-06-17
EIMCOELECO.NS,2018-12-31,12.65,12.59,2025-06-17
TAKE.NS,2018-12-31,2.44,3.9,2025-06-17
JAYAGROGN.NS,2018-12-31,4.54,5.25,2025-06-17
BIRLACABLE.NS,2018-12-31,5.06,4.68,2025-06-17
UFLEX.NS,2018-12-31,7.48,10.5,2025-06-17
PTOTF,2018-12-31,-0.04,-0.03,2024-03-14
TNPL.NS,2018-12-31,7.18,7.57,2025-06-17
CMICABLES.NS,2018-12-31,4.55,6.06,2025-06-17
TDPOWERSYS.NS,2018-12-31,-0.228,0.822,2025-06-17
JISLJALEQS.NS,2018-12-31,1.6,1.65,2025-06-17
BHARATGEAR.NS,2018-12-31,3.61,3.22,2025-06-17
GOCLCORP.NS,2018-12-31,2.56,2.4,2025-06-17
XTRAF,2018-12-31,-0.04,-0.03,2025-06-17
PRECWIRE.NS,2018-12-31,0.553,0.667,2025-06-17
DCMSHRIRAM.NS,2018-12-31,14.42,14.76,2025-06-17
PNY,2018-12-30,0.655,0.507,2023-04-03
RCCC,2018-12-30,0.00065,0.00055,2023-04-03
DTZ,2018-12-30,1.06,1.36,2023-04-03
0JI9.L,2018-12-30,-201.78056,-35.14196,2025-06-17
BHARATGEAR.BO,2018-12-30,3.61,3.22,2025-08-26
HTBC,2018-12-30,-0.00025,-0.00029,2023-04-03
ISRL,2018-12-30,0.741,0.89,2023-04-03
EFM,2018-12-30,-1.22699,-0.935,2023-04-03
MWO,2018-12-30,0.881,0.4809,2023-04-03
CBCO,2018-12-30,-0.41148,-0.34308,2023-04-03
CBTE,2018-12-30,-3.58611,-2.93225,2023-04-03
BSLU,2018-12-30,-257.11493,-190.69495,2023-04-03
0QGJ.L,2018-12-30,-0.54437,0.1519,2025-06-17
LFINP,2018-12-30,0.878,1.31,2023-04-03
BQAD.L,2018-12-30,342.85,395.3,2023-04-03
CPN,2018-12-30,-0.04501,-0.06494,2023-04-03
MTIG3.SA,2018-12-30,-1.13899,-1.08648,2023-04-03
BPTSY,2018-12-30,-124.41146,-1284.58,2025-04-25
DPL,2018-12-30,0.02312,0.01677,2023-04-03
GVBT,2018-12-30,-0.00478,-0.00673,2023-04-03
MWR,2018-12-30,0.881,1.28,2023-04-03
GOM,2018-12-30,0.678,0.3643,2023-04-03
MYMXE,2018-12-30,-0.00353,-0.00257,2023-04-03
GOJO,2018-12-30,-12.22556,-12.42384,2023-04-03
GAZ.L,2018-12-30,82.66,59.24,2023-04-03
FSTW,2018-12-30,-0.02883,-0.01659,2023-04-03
SNL.BO,2018-12-30,5.84,6.44,2025-06-17
GODREJIND.BO,2018-12-30,2.29,7.1,2025-08-26
NNPP,2018-12-30,0.06578,0.03741,2023-04-03
MITTPRB,2018-12-30,-1.34633,-1.02813,2023-04-03
LGF,2018-12-30,0.1074,0.1515,2023-04-03
FONRP,2018-12-30,0.548,0.4991,2023-04-03
LKOD.L,2018-12-30,224.15,170.91,2023-04-03
