symbol,date,epsActual,epsEstimated,lastUpdated
MZOR,2017-12-30,0.00493,0.00484,2023-04-03
WLFCP,2017-12-30,6.87,10.02,2023-04-03
CVG,2017-12-30,0.09008,0.1028,2023-04-03
CVON,2017-12-30,-0.00042,-0.00032,2023-04-03
CVRR,2017-12-30,-0.19648,-0.16454,2023-04-03
CWAY,2017-12-30,0.0562,0.0551,2023-04-03
CYS,2017-12-30,0.05697,0.03232,2023-04-03
DEL,2017-12-30,0.01554,0.01302,2023-04-03
DPL,2017-12-30,-0.05881,-0.05988,2023-04-03
DST,2017-12-30,1.34,1.1,2023-04-03
DTZ,2017-12-30,1.6,2.0,2023-04-03
EACQ,2017-12-30,0.0118,0.00689,2023-04-03
EACQU,2017-12-30,0.01224,0.00865,2023-04-03
ECYT,2017-12-30,-0.15571,-0.19854,2023-04-03
EDGW,2017-12-30,-1.79791,-2.13347,2023-04-03
EEP,2017-12-30,-0.01576,-0.01648,2023-04-03
EEQ,2017-12-30,-0.23737,-0.31152,2023-04-03
EFM,2017-12-30,1.8,1.33,2023-04-03
EGC,2017-12-30,-6.46728,-5.41446,2023-04-03
EGL,2017-12-30,-1.59009,-1.3744,2023-04-03
EGN,2017-12-30,2.68,1.82,2023-04-03
ELON,2017-12-30,-0.26593,-0.31346,2023-04-03
EMQ,2017-12-30,1.8,1.67,2023-04-03
EMZ,2017-12-30,1.8,1.23,2023-04-03
ENLK,2017-12-30,0.2492,0.2808,2023-04-03
EQGP,2017-12-30,0.2643,0.2816,2023-04-03
ESND,2017-12-30,-0.04196,-0.02184,2023-04-03
ESRX,2017-12-30,4.1,2.41,2023-04-03
ETHT,2017-12-30,-0.01141,-0.01458,2023-04-03
ETP,2017-12-30,0.784,1.11,2023-04-03
EVEP,2017-12-30,-4.01484,-5.66215,2023-04-03
EVHC,2017-12-30,1.08,1.2,2023-04-03
FCB,2017-12-30,0.4073,0.4699,2023-04-03
FEES.L,2017-12-30,11.56,12.83,2023-04-03
FFKT,2017-12-30,-0.19093,-0.09649,2023-04-03
FMI,2017-12-30,-1.04915,-0.98059,2023-04-03
FNBG,2017-12-30,0.1252,0.1124,2023-04-03
FONRP,2017-12-30,0.653,0.747,2023-04-03
FSTW,2017-12-30,-0.1477,-0.0847,2023-04-03
GAZ.L,2017-12-30,68.12,33.92,2023-04-03
GBNK,2017-12-30,0.2989,0.2556,2023-04-03
GLF,2017-12-30,19.0,20.85,2023-04-03
GNBC,2017-12-30,0.07004,0.04602,2023-04-03
GNCMA,2017-12-30,1.29,0.959,2023-04-03
GNRT,2017-12-30,-0.54635,-0.5932,2023-04-03
GOJO,2017-12-30,0.04683,0.0593,2023-04-03
GOM,2017-12-30,0.3975,0.4511,2023-04-03
GSTCQ,2017-12-30,-0.06207,-0.06031,2023-04-03
GVBT,2017-12-30,-0.00393,-0.00219,2023-04-03
HAWK,2017-12-30,-2.28352,-1.27245,2023-04-03
HDNG,2017-12-30,0.243,0.126,2023-04-03
HDP,2017-12-30,-0.678,-0.5555,2023-04-03
HTBC,2017-12-30,-0.00011,-0.00013,2023-04-03
IBCPO,2017-12-30,0.07683,0.0618,2023-04-03
ILG,2017-12-30,0.533,0.4896,2023-04-03
