symbol,date,epsActual,epsEstimated,lastUpdated
DELTACORP.NS,2019-12-31,2.03,2.02,2025-06-17
PRU.L,2019-12-31,-0.10744,0.589,2025-10-06
SASKEN.NS,2019-12-31,14.83,15.24,2025-06-17
SGM.AX,2019-12-31,-0.44938,-0.125,2025-06-17
SATIA.NS,2019-12-31,2.43,2.34,2025-06-17
IC1B.F,2019-12-31,0.3782,1.49,2025-10-06
1299.HK,2019-12-31,1.7,1.84,2025-06-17
MEIYF,2019-12-31,1.13,0.707,2025-10-06
CGCL.NS,2019-12-31,0.669,0.629,2025-06-17
SEAMECLTD.NS,2019-12-31,15.62,12.99,2025-09-09
CNVVF,2019-12-31,-0.01757,0.07133,2025-10-07
CNVVY,2019-12-31,-0.28436,0.2853,2025-10-07
COIHF,2019-12-31,0.986,1.17,2025-10-07
FANDF,2019-12-31,1.24,0.1788,2025-06-17
LRLCF,2019-12-31,2.87,5.28,2025-10-07
WPP,2019-12-31,2.01,3.95,2025-10-06
2020.HK,2019-12-31,1.27,1.35,2025-10-03
CHEMFAB.NS,2019-12-31,3.96,5.36,2025-06-17
FRIVF,2019-12-31,0.03001,-0.01027,2025-10-08
UFLEX.NS,2019-12-31,11.71,10.79,2025-06-17
CPCAY,2019-12-31,0.00974,-0.04487,2025-06-17
0175.HK,2019-12-31,0.514,0.638,2025-11-26
CGUSY,2019-12-31,-2.40676,0.562,2025-10-06
GNS.L,2019-12-31,0.3624,0.391,2025-10-06
ANPDF,2019-12-31,0.1539,0.173,2025-06-17
TFCILTD.NS,2019-12-31,3.39,2.88,2025-06-17
WARFF,2019-12-31,0.1278,0.1951,2025-10-06
SSW.JO,2019-12-31,0.1156,1.11,2025-09-11
TGASF,2019-12-31,0.02462,0.02823,2025-06-17
DYNPRO.NS,2019-12-31,4.37,5.6,2025-09-09
SCI.NS,2019-12-31,6.34,4.68,2025-09-05
LNSTY,2019-12-31,0.1013,0.3323,2025-10-07
BYPLF,2019-12-31,0.3137,0.348,2025-06-17
1N8.DE,2019-12-31,3.67,3.76,2025-06-17
UCBJF,2019-12-31,2.29,2.61,2025-06-17
